"scenario_dir","Label","CharacterName","ja","ko"
"scenarios_08_02000","08_02100_1220","@ウコン","オメエさん等程の唄い手、帝都でも滅多にお目に掛かれねぇぜ？","너희들 정도의 소리꾼, 제도에서도 좀처럼 보기 힘들걸?"
"scenarios_08_02000","08_02100_1230","@大きな唄い手","…………ぁ。","…………아."
"scenarios_08_02000","08_02100_1240","@小さな唄い手","あら、ありがと。
そっちこそやるじゃない。
あたし達に合わせられるなんて。","아라, 고마워.
너도 꽤 하는데?
우리랑 맞춰서 노래하다니."
"scenarios_08_02000","08_02100_1250","@小さな唄い手","フフン、なかなか楽しかったわ。","후훗, 꽤 재미있었어."
"scenarios_08_02000","08_02100_1260","@ムーちゃん","へっ！？　はぁ、そ、それは当然！
これでも日々、乙女を磨いてますもの！","엣!? 아, 그, 그건 당연하지!
이래봬도 매일 소녀다움을 갈고닦고 있으니까!"
"scenarios_08_02000","08_02100_1270","@小さな唄い手","あ……うん。","아……응."
"scenarios_08_02000","08_02100_1280","@サコン","ホッホッホ、歌だけではなく容姿立ち振る舞いまで
[可愛*きゃわゆ]いとは。
これぞ[紛*まご]う事もなき乙女。","호호호, 노래뿐만 아니라 외모와 태도까지
귀엽다니.
이야말로 진정한 소녀로구나."
"scenarios_08_02000","08_02100_1290","@サコン","まったく、ウチの[似非*エセ]乙女も見習って欲しいもんじゃ。
どうじゃな、ウチの店に来てはもらえんかの？","정말이지, 우리 집 가짜 소녀도 좀 본받았으면 좋겠구먼.
어때, 우리 가게에서 일해볼 생각 없나?"
"scenarios_08_02000","08_02100_1300","@ムーちゃん","オイ待て。
その[似非*エセ]乙女とは小生のことではあるまいな。","이봐, 잠깐.
그 가짜 소녀라는 게 설마 나를 말하는 건 아니겠지."
"scenarios_08_02000","08_02100_1310","@サコン","貴様のような乙女がいてたまるか。
すべての乙女に土下座せいよ？","너 같은 소녀가 있을 리가 없잖아.
모든 소녀들에게 사죄해라?"
"scenarios_08_02000","08_02100_1320","@ムーちゃん","ぬぅぅ。","으으으."
"scenarios_08_02000","08_02100_1330","@サコン","むぅぅ。","으으으."
"scenarios_08_02000","08_02100_1340","@小さな唄い手","[生憎*あいにく]だけどそういった誘いは断るようにって言われてるの。","미안하지만 그런 제안은 거절하라고 들었어."
"scenarios_08_02000","08_02100_1350","@アシュタ","あ、そうだ。
あたしはアシュタで、このコは妹のナーヴァね。","아, 맞다.
나는 아슈타고, 이 아이는 내 여동생 나바야."
"scenarios_08_02000","08_02100_1360","@ナーヴァ","…………","…………"
"scenarios_08_02000","08_02100_1370","@アシュタ","二人で舞い踊って歌いながら旅をしてるの。","둘이서 춤추고 노래하며 여행하고 있어."
"scenarios_08_02000","08_02100_1380","@アシュタ","自己紹介、大切なんでしょ？
ちゃんと知り合ったヒトにはきちんと自己紹介しなさいって言われてるの。","자기소개, 중요하잖아?
제대로 만난 사람에게는 꼭 자기소개하라고 들었거든."
"scenarios_08_02000","08_02100_1390","@ハル","チンチクリンの方が姉なのか。
逆じゃないのか？","키 작은 쪽이 언니야?
반대가 아니었어?"
"scenarios_08_02000","08_02100_1400","@アシュタ","今、チンチクリンとか言ったの……ダレ？","지금, 키 작다고 한 사람……누구야?"
"scenarios_08_02000","08_02100_1410","@ムーちゃん","さ、さあ、空耳ではありませんの？","자, 자아, 잘못 들은 거 아니에요?"
"scenarios_08_02000","08_02100_1420","@ハル","おおう、何て地獄耳……","오오, 뭐야 이 지독한 청력……"
"scenarios_08_02000","08_02100_1430","@ムーちゃん","………","………"
"scenarios_08_02000","08_02100_1440","@ハル","むごごご！？","으구구구!?"
"scenarios_08_02000","08_02100_1450","@アシュタ","空耳……？　でも確かに……
うにゅにゅ、何よ、あたしが姉で[何処*どこ]がおかしいってのよ。","잘못 들은 거……? 근데 확실히……
으으으, 뭐야, 내가 언니라서 뭐가 이상하다는 거야."
"scenarios_08_02000","08_02100_1460","@アシュタ","文句あるなら受けてやるわよ、かかってきなさいよ。","불만 있으면 받아줄 테니까, 덤벼봐."
"scenarios_08_02000","08_02100_1470","@ウコン","まあ、確かに俺もそうは思ったが……
だが、言っていい事といけない事があるだろ。","뭐, 사실 나도 그렇게 생각하긴 했지만……
그래도 해도 되는 말과 안 되는 말이 있지."
"scenarios_08_02000","08_02100_1480","@ハル","仕方ないだろ、俺は正直者なんだっての。","어쩔 수 없잖아, 난 솔직한 사람이니까."
"scenarios_08_02000","08_02100_1490","@シーちゃん","わたしはシュ━━
じゃなくてシーだよ、よろしくね。","나는 슈━━
가 아니라 치야, 잘 부탁해."
"scenarios_08_02000","08_02100_1500","@アシュタ","シーか……
シー……ね。
う～ん。","치구나……
치……라.
음~."
"scenarios_08_02000","08_02100_1510","@アシュタ","ねえ、もしかして、どこかで会ったこと、ない？","저기, 혹시 어디선가 만난 적 없어?"
"scenarios_08_02000","08_02100_1520","@シーちゃん","え？　んん……？
ん～、ないと……思うけど。","에? 음……?
음~, 없는……것 같은데."
"scenarios_08_02000","08_02100_1530","@アシュタ","そっか、気のせい……か。
そりゃそっか。","그렇구나, 내 착각……이구나.
그렇겠지."
"scenarios_08_02000","08_02100_1540","@アシュタ","あ、ごめんごめん。
何だか、何処かで会ったような気がしちゃって。","아, 미안 미안.
왠지 어디선가 만난 것 같은 기분이 들어서."
"scenarios_08_02000","08_02100_1550","@アシュタ","よく考えてみれば、そんなはず無いものね。","곰곰이 생각해보면, 그럴 리 없지."
"scenarios_08_02000","08_02100_1560","@サコン","うむ、興味深い話じゃが自己紹介は大切じゃな。","음, 흥미로운 이야기지만 자기소개는 중요하지."
"scenarios_08_02000","08_02100_1570","@サコン","[儂*ワシ]はサコン。帝都の方でちょっとした店をやっとる感じじゃ。","나는 사콘. 제도 쪽에서 작은 가게를 하고 있지."
"scenarios_08_02000","08_02100_1580","@サコン","気軽にサッちゃんと呼んでくれてもええんじゃぞ。","편하게 삿짱이라고 불러도 돼."
"scenarios_08_02000","08_02100_1590","@サコン","しかし残念じゃの。
お前さん達ならウチの店でも『なんばぁわん』になれると思ったんじゃが。","하지만 아쉽구나.
너희라면 우리 가게에서도 '넘버원'이 될 수 있을 거라 생각했는데."
"scenarios_08_02000","08_02100_1600","@アシュタ","嬉しいこと言ってくれるけどナンバーワンはもう決まってるの。","기분 좋은 말 해주지만 넘버원은 이미 정해져 있어."
"scenarios_08_02000","08_02100_1610","@アシュタ","あたし達なんかがその座に納まろうなんて、[烏滸*おこ]がましいってものよ。","우리 같은 게 그 자리에 오르려고 하다니, 건방진 짓이지."
"scenarios_08_02000","08_02100_1620","@サコン","ほほほう、お前さんがそう言う程じゃ、さぞ素晴らしい娘さんなんじゃな。","호호호, 네가 그렇게 말할 정도라면, 정말 훌륭한 아가씨인가 보구나."
"scenarios_08_02000","08_02100_1630","@アシュタ","当然よ。
何てったってあたし達のお姉さまなんだから。","당연하지.
뭐니뭐니해도 우리 언니니까."
"scenarios_08_02000","08_02100_1640","@サコン","そこんトコ、詳しく━━
ごほッ！？","그 부분, 자세히━━
콜록!?"
"scenarios_08_02000","08_02100_1650","@ムーちゃん","はじめまして。ムー、と申しますわ。
今日は皆でテスクァ祭を見に来ましたの。","처음 뵙겠습니다. 무라고 합니다.
오늘은 모두 함께 테스쿠아 축제를 보러 왔어요."
"scenarios_08_02000","08_02100_1660","@ウコン","うっし、じゃあ次は俺だな。
俺は風来坊のウコンってモンだ。","좋아, 그럼 다음은 나다.
나는 떠돌이 우콘이라고 해."
"scenarios_08_02000","08_02100_1670","@ウコン","今はこの爺さんと、娘っ子達の用心棒をしてるのさ。
よろしくな。","지금은 이 할아버지랑, 아가씨들의 보디가드를 하고 있지.
잘 부탁해."
"scenarios_08_02000","08_02100_1680","@ナーヴァ","ウコン……","우콘……"
"scenarios_08_02000","08_02100_1690","@アシュタ","用心棒ね。
……ふ～ん、中々やるみたいね？","보디가드라.
……흠, 제법 하는 것 같네?"
"scenarios_08_02000","08_02100_1700","@ウコン","へぇ、判るかい。","오, 알아보겠어?"
"scenarios_08_02000","08_02100_1710","@シーちゃん","あ、ウコンってばニヤけてる。","아, 우콘이 싱글벙글하고 있어."
"scenarios_08_02000","08_02100_1720","@ハル","見ないふりをしてやるのが優しさってもんだ。
最近は純粋に誉められることが少なくなったから嬉しいんだろ。","모른 척 해주는 게 배려라는 거지.
요즘은 순수하게 칭찬받는 일이 드물어져서 기쁜 거야."
"scenarios_08_02000","08_02100_1730","@ウコン","ぐ……","으……"
"scenarios_08_02000","08_02100_1740","@アシュタ","それと、それなりにいい男かしら。
でも、好みとはちょっと違うわね。","그리고, 그럭저럭 괜찮은 남자인 것 같긴 해.
하지만, 내 취향이랑은 좀 다르네."
"scenarios_08_02000","08_02100_1750","@ウコン","そいつは手厳しいな。","그거 참 냉정하네."
"scenarios_08_02000","08_02100_1760","@アシュタ","なによりヒゲがちょっとね。
イマイチと言うか、そのヒゲ、剃った方がいいと思うわよ？","무엇보다 수염이 좀 그래.
별로라고 해야 하나, 그 수염, 깎는 게 좋을 것 같은데?"
"scenarios_08_02000","08_02100_1770","@アシュタ","そう思わない、ナーヴァ？","그렇게 생각하지, 나바?"
"scenarios_08_02000","08_02100_1780","@ナーヴァ","…………","…………"
"scenarios_08_02000","08_02100_1790","@アシュタ","……ナーヴァ？","……나바?"
"scenarios_08_02000","08_02100_1800","@ナーヴァ","…………","…………"
"scenarios_08_02000","08_02100_1810","@アシュタ","ちょっとナーヴァ。","잠깐, 나바."
"scenarios_08_02000","08_02100_1820","@アシュタ","ナーヴァ！","나바!"
"scenarios_08_02000","08_02100_1830","@ナーヴァ","……お姉ちゃん？","……언니?"
"scenarios_08_02000","08_02100_1840","@アシュタ","どうしたのよ、さっきから黙りこくっちゃって、ナーヴァらしくもない。
……って、顔が真っ赤じゃない！？","왜 그래, 아까부터 말이 없잖아, 나바답지 않게.
……어, 얼굴이 새빨개졌잖아!?"
"scenarios_08_02000","08_02100_1850","@ナーヴァ","どうしよう、お姉ちゃん。
何だか判らないけどとっても暑くて顔が[火照*ほて]っちゃうの。","어떡하지, 언니.
뭔지는 모르겠지만 너무 더워서 얼굴이 달아올라."
"scenarios_08_02000","08_02100_1860","@アシュタ","暑い、ってちょっと、この辺りってむしろ肌寒いくらいなんだけど……まさか風邪でも引いたんじゃないわよね？","덥다니, 잠깐, 이 근처는 오히려 쌀쌀할 정도인데……설마 감기라도 걸린 건 아니지?"
"scenarios_08_02000","08_02100_1870","@ウコン","どうした、[何処*どこ]か具合でも悪いのかい？","왜 그래, 어디 아픈 거라도 있어?"
"scenarios_08_02000","08_02100_1880","@ナーヴァ","━━ふぁ！？","━━흐아!?"
"scenarios_08_02000","08_02100_1890","@ナーヴァ","わわわ、お姉ちゃん！
もっと暑くなってきちゃったよ。","으아아, 언니!
더 더워졌어."
"scenarios_08_02000","08_02100_1900","@アシュタ","ちょ、大丈夫なの？","저, 괜찮은 거야?"
"scenarios_08_02000","08_02100_1910","@ナーヴァ","胸がドキドキして、キュンって締め付けられるような感じがするの。
どうしようお姉ちゃん、おかしくなっちゃった。","가슴이 두근두근하고, 꽉 조여오는 느낌이 들어.
어떡하지 언니, 이상해졌어."
"scenarios_08_02000","08_02100_1920","@ウコン","（確かに顔が真っ赤だ。
　旅の途中で病気にかかったのなら、少々まずいかも
　な）","(확실히 얼굴이 새빨갛다.
　여행 중에 병이라도 걸렸다면, 좀 곤란할지도
　모르겠네)"
"scenarios_08_02000","08_02100_1930","@シーちゃん","た、大変だよ、オ━━
じゃなくてウン━━じゃなくてウコン！
このコを診てあげて。","큰일이야, 오━━
아니, 운━━아니, 우콘!
이 아이 좀 봐줘."
