scenario_dir,Label,CharacterName,ja,en,ko
scenarios_00_00100,00_00100_0070,@覆面の男,"各回路、正常確認。
座標発信━━","All circuits are operational. Now, to enter the coordinates...","각 회로, 정상 확인.
좌표 발신━━"
scenarios_00_00100,00_00100_0080,@覆面の男,……これでいい。,That should do it.,……이걸로 됐다.
scenarios_00_00100,00_00100_0090,@覆面の男,後は向こうの{d000100}ゲート{d-1}が開放されれば……,All that's left is to wait for the destination {d000100}gate{d-1} to open.,이제 저쪽의 {d000100}게이트{d-1}만 열리면……
scenarios_00_00100,00_00100_0100,@少女,父さま！,"Father, someone's coming!",아버지!
scenarios_00_00100,00_00100_0110,@覆面の男,"見つかったか。
あと少しだというのに……",We've been discovered... We only needed a few more moments...,"찾았나.
이제 조금만 더면 됐는데……"
scenarios_00_00100,00_00100_0120,@覆面の男,シューニャ、もしもの時は……判っているな？,"Shunya, I told you what to do if the worst were to happen.","슈냐, 만일의 경우엔……알고 있지?"
scenarios_00_00100,00_00100_0130,@シューニャ,でも父さま……,"But, Father...",하지만 아버지……
scenarios_00_00100,00_00100_0140,@覆面の男,間に合ったか、ゲートが開く。,"Ah, not all is lost. The gate is opening.","제때 왔군, 게이트가 열린다."
scenarios_00_00100,00_00100_0150,@覆面の男,今だ、シューニャ━━,"It's time, Shunya.","지금이다, 슈냐━━"
scenarios_00_00100,00_00100_0160,@？,"はて、何処へ行こうというのだね。
同志パシュパクル。","Were you going somewhere, Comrade Pashpakur?","흠, 어디로 가실 생각인가.
동지 파쉬파쿠르."
scenarios_00_00100,00_00100_0170,@パシュパクル,……マヤカゥア。,Mayacowl...,……마야카아.
scenarios_00_00100,00_00100_0180,@マヤカゥア,[教皇*シャントゥーラ]様の右腕にして、一の{d000600}[闘士*ヴィラータ]{d-1}。,"Who'd have thought the Shantuura's right-hand man, our foremost {d000600}Virata{d-1}...","교황 샨투라 님의 오른팔이자, 제1의 {d000600}비라타{d-1}."
scenarios_00_00100,00_00100_0190,@マヤカゥア,それがまさか、忌まわしきネズミであったとはね。,...was a despicable traitor?,"그게 설마, 불길한 쥐새끼였을 줄이야."
scenarios_00_00100,00_00100_0200,@マヤカゥア,"よくぞここまで騙し通せたものだ。
……いや、[流石*さすが]と言うべきか。","Long have we been blind to your deceit, but that ends now.","여기까지 잘도 속여 넘겼군.
……아니, 역시라고 해야 하나."
scenarios_00_00100,00_00100_0210,@パシュパクル,…………,...,…………
scenarios_00_00100,00_00100_0220,@マヤカゥア,だが、その罪、万死に値する。,Your crimes have signed your death sentence.,"하지만 그 죄, 만 번 죽어도 모자라다."
scenarios_00_00100,00_00100_0230,@パシュパクル,これを持って先に行け。,Take this and go on ahead.,이걸 가지고 먼저 가.
scenarios_00_00100,00_00100_0240,@パシュパクル,なぁに、すぐに追い付く。,Don't worry. I'll catch up before you even know it.,"걱정 마라, 곧 따라붙겠다."
scenarios_00_00100,00_00100_0250,@シューニャ,でも！,"I can't leave you, Father!",하지만!
scenarios_00_00100,00_00100_0260,@パシュパクル,振り返るな、行けЦ,You must! Don't look back!,"뒤돌아보지 마, 가!"
scenarios_00_00100,00_00100_0270,@シューニャ,……ッ。,Ngh...,……!
scenarios_00_00100,00_00100_0280,@マヤカゥア,逃がさぬよ。追え。,Go after her! Don't let her escape!,도망칠 수는 없다. 쫓아라.
scenarios_00_00100,00_00100_0290,@兵士達,ハッ！,Aye!,예!
scenarios_00_00100,00_00100_0300,@パシュパクル,行かせると思うか？,You think I'll allow anyone to get past me?,보내줄 것 같나?
scenarios_00_00100,00_00100_0310,@マヤカゥア,さて、どうかな？,Let's see you try and stop us.,"글쎄, 어떠려나?"
scenarios_00_00100,00_00100_0320,@パシュパクル,しまっ━━,No—!,젠장━━
scenarios_00_00100,00_00100_0330,@パシュパクル,クッ……,Grr...,큭……
scenarios_00_00100,00_00100_0340,@マヤカゥア,[最早*もはや]これまでだ、パシュパクル。,"You're finished, Pashpakur.","이제 끝이다, 파쉬파쿠르."
scenarios_00_00100,00_00100_0350,@パシュパクル,……マヤカゥア。,Mayacowl...,……마야카아.
scenarios_00_00100,00_00100_0360,@マヤカゥア,最後に答えてもらおう。あの娘……{d000700}ラーヴェンダーナ{d-1}をどこへ飛ばした。,"Before I end you, answer one question. Where did you send the girl, our {d000700}Lavendharna{d-1}?",마지막으로 대답해라. 그 아이……{d000700}라벤다나우나{d-1}를 어디로 날려 보냈지.
scenarios_00_00100,00_00100_0370,@マヤカゥア,……それが答えか。,Is silence your answer?,……그게 대답인가.
scenarios_00_00100,00_00100_0380,@マヤカゥア,なれば、語るに値せず。,"Well, if you won't talk...","그렇다면, 들을 가치도 없군."
scenarios_00_00100,00_00100_0390,@パシュパクル,カハッ━━,Argh!,커헉━━
scenarios_00_00100,00_00100_0400,@マヤカゥア,━━ヌッ！,Hah!,━━후앗!
scenarios_00_00100,00_00100_0410,@パシュパクル,ぬおぉぉぉぉぉぉッЦ,Hyaaaaaaa!,우오오오오오오오오!!
scenarios_00_00100,00_00100_0420,@マヤカゥア,[教皇*シャントゥーラ]様の名において、我、マヤカゥアが裁きを下す。,"In the name of the venerable Shantuura, I shall mete out your punishment.","교황 샨투라 님의 이름으로, 나 마야카아가 심판을 내린다."
scenarios_00_00100,00_00100_0430,@パシュパクル,"……すまぬ、トリコリ。
どうやら約束は果たせぬようだ。","...Forgive me, Torikori. I could not keep our promise.","……미안하군, 토리코리.
아무래도 약속은 지키지 못할 것 같다."
