"scenario_dir","Label","CharacterName","ja","ko"
"scenarios_03_04000","03_04000_0480","@オシュトル","ッЧ",""
"scenarios_03_05000","03_05520_0180","@オシュトル・シューニャ","Ч",""
"scenarios_03_09000","03_09000_0040","@オシュトル","うおЧ","우왓"
"scenarios_03_09000","03_09000_0200","@ムネチカ","ふぉЧ","훠"
"scenarios_03_09000","03_09000_0240","@ムネチカ","ふおぉぉぉぉぉЧ","훠어어어어어"
"scenarios_04_06000","04_06000_0240","@ムネチカ","Ч",""
"scenarios_04_11000","04_11000_0480","@ホノカ","ッЦ",""
"scenarios_04_11000","04_11000_0490","@ホノカ","しまったЧ","망했다"
"scenarios_04_11000","04_11000_0500","@ホノカ","最初からこのつもりでЧ","처음부터 이럴 생각이었군"
"scenarios_05_02000","05_02000_1110","@オシュトル","なっЧ","뭐?"
"scenarios_05_03000","05_03000_0000","@オシュトル","まさか、あの方に師事することになるとは……","설마, 그분께 사사받게 될 줄은……"
"scenarios_05_03000","05_03000_0010","@ハル","お、なかなか立派な屋敷だな。","오, 꽤나 훌륭한 저택이네."
"scenarios_05_03000","05_03000_0020","@シューニャ","あの仮面のおじちゃんて、すごいヒトなの？","저 가면 아저씨, 대단한 사람이야?"
"scenarios_05_03000","05_03000_0030","@オシュトル","仮面のおじちゃんってな……
凄いなんてもんじゃないぞ。","가면 아저씨라니……
대단하다는 말로는 부족하지."
"scenarios_05_03000","05_03000_0031","@オシュトル","あれは{d013900}[仮面*アクルカ]{d-1}と言ってな、真に選ばれし[武人*もののふ]のみに与えられる、ヤマトの力の象徴だ。","저건 {d013900}仮面*アクルカ{d-1}라고 해서, 진정으로 선택받은 무사에게만 주어지는, 야마토의 힘의 상징이야."
"scenarios_05_03000","05_03000_0032","@オシュトル","まぁ、シューニャが知らないのも無理はないか。","뭐, 슈냐가 모르는 것도 무리는 아니지."
"scenarios_05_03000","05_03000_0040","@オシュトル","そして、あの御方はヤマト八柱将筆頭、[虹*しちこう]のディコトマ様だ。","그리고 그분은 야마토 팔주장 중 으뜸, 시치코우의 디코토마님이시다."
"scenarios_05_03000","05_03000_0050","@シューニャ","[虹*しちこう]？","시치코우?"
"scenarios_05_03000","05_03000_0060","@オシュトル","ああ、そのあまりに凄まじい太刀筋が、大気をも切り裂いて七色に輝くからだと言われている。","그래, 그 엄청난 검놀림이 대기마저 가르고 일곱 빛깔로 빛난다고 해서 그렇게 불린대."
"scenarios_05_03000","05_03000_0070","@ハル","おいおい、マジか……","야, 진짜야……?"
"scenarios_05_03000","05_03000_0071","@シューニャ","じゃあ、八柱将って？","그럼, 팔주장이라는 건?"
"scenarios_05_03000","05_03000_0072","@ムネチカ","八柱将とは文字通りこのヤマトを支える八本の柱。[帝*ミカド]に仕え、このヤマトの中核をなす方々ですわ。","팔주장은 말 그대로 이 야마토를 지탱하는 여덟 기둥. 황제님을 모시고, 이 야마토의 중추를 이루는 분들이에요."
"scenarios_05_03000","05_03000_0080","@オシュトル","そして筆頭であるディコトマ様は文武両道、公明正大。民から広く慕われ、[帝*ミカド]が最も信を置く御方だ。","그리고 으뜸이신 디코토마님은 문무를 겸비하고, 공명정대하시지. 백성들에게 널리 존경받고, 황제님이 가장 신임하는 분이야."
"scenarios_05_03000","05_03000_0090","@オシュトル","[武人*もののふ]とは、あの方を示す言葉と言っても過言じゃ無い。","무사란, 바로 그분을 가리키는 말이라고 해도 과언이 아니야."
"scenarios_05_03000","05_03000_0100","@オシュトル","ディコトマ様に憧れぬヤマト男児はいないさ。","디코토마님을 동경하지 않는 야마토 사내는 없어."
"scenarios_05_03000","05_03000_0110","@シューニャ","……ふ～ん。","……흠~."
"scenarios_05_03000","05_03000_0111","@ハル","判ってないっぽいな。","잘 모르는 것 같은데."
"scenarios_05_03000","05_03000_0112","@シューニャ","判るよ。
だって、あの髪型強そうだもん。","알아.
왜냐면, 저 머리 스타일이 엄청 강해 보여."
"scenarios_05_03000","05_03000_0120","@ハル","お前、本人の前で絶対それ言うなよ。","너, 본인 앞에서는 절대 그 말 하지 마라."
"scenarios_05_03000","05_03000_0130","@ムネチカ","さあ、行きますわよ。
ディコトマ様をお待たせするのは失礼ですわ。","자, 갑시다.
디코토마님을 기다리게 해 드리는 건 실례에요."
"scenarios_05_03000","05_03000_0140","@？","何度も言わせるな！
ディコトマ様に取り次ぎ願いたい！","몇 번을 말하게 하는 거냐!
디코토마님께 전해 주시길 부탁드린다!"
"scenarios_05_03000","05_03000_0150","@オシュトル","何だ？","뭐지?"
"scenarios_05_03000","05_03000_0160","@ンハライ","しかし、何度おっしゃられようと、これは規則ですので……","하지만, 아무리 말씀하셔도 이건 규칙이라서……"
"scenarios_05_03000","05_03000_0170","@ンハライ","御館様の[弟子*ていし]になりたい方はあなただけでは無く、大勢います。","주인님의 제자가 되고 싶어 하는 분은 당신만이 아니라, 아주 많습니다."
"scenarios_05_03000","05_03000_0180","@？","それを承知で、こうして頭を下げている。","그걸 알면서도, 이렇게 머리를 숙이고 있는 거다."
"scenarios_05_03000","05_03000_0190","@ンハライ","ですから……","그러니까……"
"scenarios_05_03000","05_03000_0200","@ンハライ","ミカヅチ様と申されましたか……","미카즈치님이라고 하셨나요……"
"scenarios_05_03000","05_03000_0210","@ンハライ","失礼ながら[将家*しょうか]の[若様*わかさま]とお見受け致しますが、何かしらの[伝手*つて]を使い、手順を踏んでさえいただければ━━","실례지만 장군가의 도련님으로 보입니다만, 어떤 연줄이든 이용해서, 절차만 밟아 주신다면━━"
"scenarios_05_03000","05_03000_0220","@ミカヅチ","それが出来れば、そうしているわ！","그게 가능했다면, 진작 그렇게 했지!"
"scenarios_05_03000","05_03000_0230","@ンハライ","は？","뭐?"
"scenarios_05_03000","05_03000_0240","@ミカヅチ","ぬ……ぐ……貴様では[埒*らち]が明かん！
ええい、誰か話のわかる奴を出せ！","으……으윽……네놈으로는 아무 소용이 없군!
이런, 누가 좀 말이 통하는 사람을 내놔라!"
"scenarios_05_03000","05_03000_0250","@ムネチカ","何ですの、彼は？","저 사람, 뭐죠?"
"scenarios_05_03000","05_03000_0260","@オシュトル","何やら[揉*も]めてるようだな。
[弟子*ていし]がどうとか言ってたが。","뭔가 다투고 있는 것 같군.
제자가 어쩌고 말하던데."
"scenarios_05_03000","05_03000_0270","@ンハライ","あっ、あなたは……オシュトル様ですね。
お待ちしておりました。","아, 당신은……오슈토르님이시죠.
기다리고 있었습니다."
"scenarios_05_03000","05_03000_0280","@ンハライ","弟子入りの件、御館様より[伺*うかが]っております。","제자 입문 건, 주인어른께 들었습니다."
"scenarios_05_03000","05_03000_0290","@ンハライ","御案内いたしますので、ささ、どうぞこちらへ。","안내해드리겠습니다, 자, 이쪽으로 오시죠."
"scenarios_05_03000","05_03000_0300","@ミカヅチ","待てぇぇいЦ","멈춰라!"
"scenarios_05_03000","05_03000_0310","@ンハライ","うわっЧ","으악"
"scenarios_05_03000","05_03000_0320","@ミカヅチ","[弟子*ていし]……と言ったか。","제자……라고 했나."
"scenarios_05_03000","05_03000_0330","@ミカヅチ","そんな甘っちょろそうな奴が、ディコトマ様に弟子入りだと？","저렇게 나약해 보이는 녀석이, 디코토마님께 제자가 되겠다고?"
"scenarios_05_03000","05_03000_0340","@シューニャ","ム……","흠……"
"scenarios_05_03000","05_03000_0350","@ミカヅチ","納得出来ぬわ！","납득할 수 없어!"
"scenarios_05_03000","05_03000_0360","@ミカヅチ","そいつを認めて、何故、俺を認めぬ。","저 녀석은 인정하면서, 왜 나는 인정하지 않는 거지."
"scenarios_05_03000","05_03000_0370","@ンハライ","ですから、何度も申し上げましたように……","그러니까, 몇 번이나 말씀드렸다시피……"
"scenarios_05_03000","05_03000_0380","@ミカヅチ","そこの貴様！
とても[相応*ふさわ]しいとは思えん。","거기 너!
도저히 어울린다고는 생각되지 않는다."
"scenarios_05_03000","05_03000_0390","@ミカヅチ","まさか本気で、ディコトマ様に弟子入りする気ではあるまいな？
んЧ","설마 진심으로, 디코토마님께 제자가 되려고 하는 건 아니겠지?
응?"
"scenarios_05_03000","05_03000_0400","@オシュトル","誰かは知らんが、黙って聞いていれば[随分*ずいぶん]な言い草だな。","누군지는 모르겠지만, 가만히 듣고 있으니 꽤나 심한 말이군."
"scenarios_05_03000","05_03000_0410","@オシュトル","確かに俺は、ディコトマ様の指南を受けるような[器*うつわ]ではない。","확실히 나는, 디코토마님의 지도를 받을 만한 그릇이 아니다."
"scenarios_05_03000","05_03000_0420","@オシュトル","自分がどれだけ弱いか、どれだけ至らないか、身に染みてよくわかっている。","내가 얼마나 약한지, 얼마나 부족한지, 뼈저리게 잘 알고 있다."
"scenarios_05_03000","05_03000_0430","@オシュトル","だからこそ俺は、あの方の元で強くならなくてはならない！","그렇기 때문에 나는, 그분 밑에서 강해져야만 한다!"
"scenarios_05_03000","05_03000_0440","@オシュトル","分不相応となじられようと、どれほど試練が厳しかろうと、弟子入りを取り下げるつもりはない！","분수에 맞지 않다는 소리를 듣더라도, 아무리 시련이 혹독하더라도, 제자 입문을 포기할 생각은 없다!"
"scenarios_05_03000","05_03000_0450","@ミカヅチ","……ふん。
ならば、俺と死合え。","……흥.
그렇다면, 나와 결투해라."
"scenarios_05_03000","05_03000_0460","@オシュトル","何？","뭐?"
"scenarios_05_03000","05_03000_0470","@ミカヅチ","貴様と俺、どちらがディコトマ様の[弟子*ていし]として[相応*ふさわ]しいか、決着をつけようじゃねぇか。","너와 나, 누가 디코토마님의 제자로 더 어울리는지, 결판을 내자고."
"scenarios_05_03000","05_03000_0480","@ミカヅチ","その覚悟が、口先だけでない事を証明して見せろ。","그 각오가 말뿐이 아니라는 걸 증명해 보여라."
"scenarios_05_03000","05_03000_0490","@ハル","決着も何も、今、出会ったばかりだろうが。
無茶苦茶な奴だな。","결판이고 뭐고, 지금 막 만난 사이잖아.
엉망진창인 녀석이군."
"scenarios_05_03000","05_03000_0500","@ムネチカ","オシュトル殿。","오슈토르님."
"scenarios_05_03000","05_03000_0510","@オシュトル","ああ、判っている。
安い挑発には……","아아, 알고 있다.
값싼 도발에는……"
"scenarios_05_03000","05_03000_0520","@オシュトル","くッЦ","크윽"
"scenarios_05_03000","05_03000_0530","@オシュトル","（こいつの言い分に付き合う必要は無い。
　だが、それでいいのか……）","(이 녀석의 말에 일일이 대응할 필요는 없다.
　하지만, 이대로 괜찮은 걸까……)"
"scenarios_05_03000","05_03000_0540","@シューニャ","オシュトル。","오슈토르."
"scenarios_05_03000","05_03000_0550","@オシュトル","心配するなシューニャ。","걱정 마, 슈냐."
"scenarios_05_03000","05_03000_0560","@シューニャ","やっちゃうの？
[殺*や]っちゃうよね？","하는 거야?
죽여버리는 거지?"
"scenarios_05_03000","05_03000_0570","@オシュトル","……あ、ああ、うん。","……아, 아아, 응."
"scenarios_05_03000","05_03000_0580","@ンハライ","なっ、こ、困ります。
ここで、そのような。","뭐, 그, 곤란합니다.
여기서, 그런 건."
"scenarios_05_03000","05_03000_0590","@ディコトマ","クックククク……
いいねぇ、いいじゃねぇか。","크크크크……
좋아, 아주 좋군."
"scenarios_05_03000","05_03000_0600","@ンハライ","御館様Ч","주인어른"
"scenarios_05_03000","05_03000_0610","@ディコトマ","若えなァ。
だが、若いモンはそうでなくちゃな。","젊구나.
하지만, 젊은 사람은 그래야지."
"scenarios_05_03000","05_03000_0620","@ディコトマ","俺の[弟子*ていし]になりたいんだってな？
いいぜ、[弟子*ていし]にしてやる。","내 제자가 되고 싶다며?
좋아, 제자로 받아주지."
"scenarios_05_03000","05_03000_0630","@ミカヅチ","なんと！　ま、 [真*まこと]ですかЧ","뭐라고! 정말입니까?"
