id,jp_name,en_name,ko_name
Chara_50185,━━━,———,
Chara_20001,〃,─,
Chara_22801,おじいさん,Elderly Man,
Chara_22602,おじさん,Older Man,
Chara_22600,おじさん※欠番,─,
Chara_22400,おっかけの男,Obsessive Boy,
Chara_22902,おばあさん,Elderly Woman,
Chara_22900,おばあさん※欠番,─,
Chara_22702,おばさん,Older Woman,
Chara_22701,おばさん※欠番,─,
Chara_50012,お土産屋さん,Souvenir Seller,
Chara_50025,ならず者,Rogue,
Chara_22401,にーやん,Big Bro,
Chara_22501,ねーやん,Big Sis,
Chara_00800,アシュタ,Ashta,
Chara_04600,アシュタ・ナーヴァ,Ashta and Nava,
Chara_50003,アシワラ出身の女,Woman From Ashiwara,
Chara_50004,アシワラ出身の男,Man From Ashiwara,
Chara_04700,アヅマ,Azuma,
Chara_02900,アンジュ,Anju,
Chara_22000,アーヴァ＝シュランの兵,Arva Shulan Soldier,
Chara_21600,アーヴァ＝シュランの行商人,Arva Shulan Merchant,
Chara_21700,アーヴァ＝シュランの行商人のウマ,Arva Shulan Merchant's Horse,
Chara_21800,アーヴァ＝シュランの装備屋,Arva Shulan Equipment Shop,
Chara_50005,イサマン一家侠客,Isaman Mobster,
Chara_04500,イシネン,Ishinen,
Chara_50006,イズルハ出身の男,Man From Izuruha,
Chara_40800,イヅモ衛兵,Izumo Guard,
Chara_04900,イナヅマ,Inazuma,
Chara_01900,イラワジ,Irawaji,
Chara_02500,ウォシス,Woshis,
Chara_00004,ウコン,Ukon,
Chara_50007,ウコン・サコン,Ukon and Sakon,
Chara_01500,ウルゥル,Uruuru,
Chara_41000,エピローグテロップ用,For Epilogue Telop,
Chara_50008,エンナカムイ隊商人,Ennakamuy Trader,
Chara_00000,オシュトル,Oshtor,
Chara_50009,オシュトル・シューニャ,Oshtor and Shunya,
Chara_50001,オシュトル・ミカヅチ,Oshtor and Mikazuchi,
Chara_50002,オシュトル・ミカヅチ・ハル,"Oshtor, Mikazuchi, and Halu",
Chara_50010,オシュトル・ミカヅチ・ムネチカ,"Oshtor, Mikazuchi, and Munechika",
